REG
REG_BUILDING
REG_CALENDAR
REG_ETHNICITY
REG_MP_DATES
REG_ACADEMIC
REG_NOTES
REG_CONTACT
REG_PERSONAL
REG_STU_CONTACT
REG_CONTACT_PHONE
REG_STAFF
REG_STAFF_BLDGS
SCHD_MS
SCHD_MS_MP
SCHD_MS_SESSION
SCHD_STU_COURSE
SCHD_MS_STAFF
REGTB_ETHNICITY
REGTB_LANGUAGE
SCHD_STU_CRS_DATES
ATT_BOTTOMLINE
